id,film_id,film,character_id,Characters,Actor,phase_id
1,1,Iron Man,1,"Robert Downey ,Jr.",Tony Stark/Iron Man,1
2,1,Iron Man,2,Terrence Howard,Rhodey,1
3,1,Iron Man,3,Jeff Bridges,Obadiah Stane,1
4,1,Iron Man,4,Gwyneth Paltrow,"Virginia ""Pepper"" Potts",1
5,2,The Incredible Hulk,5,Edward Norton,Bruce Banner,1
6,3,Iron Man 2,6,"Robert Downey, Jr.",Tony Stark,1
7,3,Iron Man 2,7,Gwyneth Paltrow,Pepper Potts,1
8,3,Iron Man 2,8,Scarlett Johansson,Natalie Rushman/Natasha Romanoff,1
9,3,Iron Man 2,9,Don Cheadle,"Lt. Col. James ""Rhodey"" Rhodes",1
10,3,Iron Man 2,10,Mickey Rourke,Ivan Vanko,1
11,4,Thor,11,Chris Hemsworth,Thor,1
12,4,Thor,12,Natalie Portman,Jane Foster,1
13,4,Thor,13,Tom Hiddleston,Loki,1
14,4,Thor,14,Anthony Hopkins,Odin,1
15,4,Thor,15,Idris Elba,Heimdall,1
16,5,Captain America: The First Avenger,16,Chris Evans,Steve Rogers / Captain America,1
17,5,Captain America: The First Avenger,17,Tommy Lee Jones,Chester Philips,1
18,5,Captain America: The First Avenger,18,Sebastian Stan,Bucky Barnes,1
19,5,Captain America: The First Avenger,19,Hayley Atwell,Peggy Carter,1
20,6,The Avengers,20,Tom Hiddleston,Loki,1
21,7,Iron Man 3,21,"Robert Downey, Jr.",Tony Stark/Iron Man,2
22,7,Iron Man 3,22,Gwyneth Paltrow,Pepper Potts,2
23,7,Iron Man 3,23,Don Cheadle,James 'Rhodey' Rhodes,2
24,7,Iron Man 3,24,Guy Pearce,Aldrich Killian,2
25,7,Iron Man 3,25,Ben Kingsley,The Mandarin,2
26,8,Thor: The Dark World,26,Chris Hemsworth,Thor,2
27,8,Thor: The Dark World,27,Natalie Portman,Jane Foster,2
28,8,Thor: The Dark World,28,Tom Hiddleston,Loki,2
29,8,Thor: The Dark World,29,Anthony Hopkins,Odin,2
30,8,Thor: The Dark World,30,Idris Elba,Heimdall,2
31,8,Thor: The Dark World,31,Christopher Eccleston,Malekith the Accursed,2
32,8,Thor: The Dark World,32,Jaimie Alexander,Sif,2
33,9,Captain America: The Winter Soldier,33,Chris Evans,Captain America/Steve Rogers,2
34,9,Captain America: The Winter Soldier,34,Scarlett Johansson,Natasha Romanoff/Black Widow,2
35,9,Captain America: The Winter Soldier,35,Sebastian Stan,Bucky Barnes/Winter Soldier,2
36,9,Captain America: The Winter Soldier,36,Robert Redford,Agent Alexander Pierce,2
37,9,Captain America: The Winter Soldier,37,Samuel L. Jackson,Nick Fury,2
38,10,Guardians of the Galaxy,38,Chris Pratt,Peter Quill,2
39,10,Guardians of the Galaxy,39,Zoe Saldana,Gamora,2
40,10,Guardians of the Galaxy,40,Dave Bautista,Drax,2
41,10,Guardians of the Galaxy,41,Vin Diesel,Groot,2
42,10,Guardians of the Galaxy,42,Bradley Cooper,Rocket,2
43,11,Avengers: Age of Ultron,43,James Spader,Ultron,2
44,12,Ant-Man,44,Paul Rudd,Scott Lang / Ant-Man,2
45,12,Ant-Man,45,Evangeline Lilly,Hope Van Dyne,2
